2021/12/29 13:18:31 Auction open at: [::]:5460
2021/12/29 13:18:31 Auctioneer: Auction started at 5460. Duration will be: 100 seconds
2021/12/29 13:18:59 Send reply to 5753
2021/12/29 13:18:59 Received new leader
2021/12/29 13:19:25 Send reply to 5752
2021/12/29 13:19:25 Received new leader
2021/12/29 13:19:54 Send reply to 5751
2021/12/29 13:19:54 Received new leader
21/12/29 13:15:05 Leader election called
2021/12/29 13:15:05 This is the fucking champ
2021/12/29 13:15:05 Auction open at: [::]:5001
2021/12/29 13:15:05 Received new leader
54 STATE: 0
2021/12/29 13:02:59 STATE: 0
2021/12/29 13:03:04 STATE: 0
2021/12/29 13:03:09 STATE: 0
2021/12/29 13:03:14 STATE: 0
2021/12/29 13:03:19 Received new leader
2021/12/29 13:03:19 NEW STATE IS 0
2021/12/29 13:03:24 STATE: 0
2021/12/29 13:03:27 Auctioneer: Auction closed. Highest bid: 0 by 
2021/12/29 13:03:29 STATE: 0
2021/12/29 13:03:34 STATE: 0
2021/12/29 13:03:39 STATE: 0
2021/12/29 13:03:45 STATE: 0
2021/12/29 13:03:50 STATE: 0
2021/12/29 13:03:55 Missing pulse from prime replica. Last Pulse: 15.8317347s seconds ago
2021/12/29 13:03:55 Leader election called
2021/12/29 13:03:55 This is the fucking champ
2021/12/29 13:03:55 Auction open at: [::]:5001
2021/12/29 13:03:55 Received new leader
2021/12/29 13:03:55 NEW STATE IS 0
:29 STATE: 0
2021/12/29 12:49:34 STATE: 0
2021/12/29 12:49:39 STATE: 0
2021/12/29 12:49:44 STATE: 0
2021/12/29 12:49:49 STATE: 0
2021/12/29 12:49:54 STATE: 0
2021/12/29 12:49:59 STATE: 0
2021/12/29 12:50:04 STATE: 0
2021/12/29 12:50:09 STATE: 0
2021/12/29 12:50:14 STATE: 0
2021/12/29 12:50:19 STATE: 0
2021/12/29 12:50:24 STATE: 0
2021/12/29 12:50:29 STATE: 0
2021/12/29 12:50:34 STATE: 0
2021/12/29 12:50:39 STATE: 0
2021/12/29 12:50:44 STATE: 0
2021/12/29 12:50:49 STATE: 0
2021/12/29 12:50:54 STATE: 0
2021/12/29 12:50:59 STATE: 0
2021/12/29 12:51:04 STATE: 0
2021/12/29 12:51:09 STATE: 0
2021/12/29 12:51:14 STATE: 0
2021/12/29 12:51:19 STATE: 0
2021/12/29 12:51:24 STATE: 0
2021/12/29 12:51:29 STATE: 0
2021/12/29 12:51:34 STATE: 0
2021/12/29 12:51:39 STATE: 0
2021/12/29 12:51:44 STATE: 0
2021/12/29 12:51:49 STATE: 0
2021/12/29 12:51:54 STATE: 0
2021/12/29 12:51:59 STATE: 0
2021/12/29 12:52:04 STATE: 0
2021/12/29 12:52:09 STATE: 0
2021/12/29 12:52:14 STATE: 0
2021/12/29 12:52:19 STATE: 0
2021/12/29 12:52:24 STATE: 0
2021/12/29 12:52:29 STATE: 0
2021/12/29 12:52:34 STATE: 0
2021/12/29 12:52:39 STATE: 0
2021/12/29 12:52:44 STATE: 0
2021/12/29 12:52:49 STATE: 0
2021/12/29 12:52:54 STATE: 0
2021/12/29 12:52:59 STATE: 0
2021/12/29 12:53:04 STATE: 0
2021/12/29 12:53:09 Missing pulse from prime replica. Last Pulse: 16.6110067s seconds ago
2021/12/29 12:53:09 Leader election called
2021/12/29 12:53:14 STATE: 1
2021/12/29 12:53:19 STATE: 1
2021/12/29 12:53:24 STATE: 1
2021/12/29 12:53:29 STATE: 1
2021/12/29 12:53:34 STATE: 1
2021/12/29 12:53:39 STATE: 1
2021/12/29 12:53:44 STATE: 1
2021/12/29 12:53:49 STATE: 1
2021/12/29 12:53:54 STATE: 1
2021/12/29 12:53:59 STATE: 1
2021/12/29 12:54:04 STATE: 1
2021/12/29 12:54:09 STATE: 1
2021/12/29 12:54:14 STATE: 1
2021/12/29 12:54:19 STATE: 1
2021/12/29 12:54:24 STATE: 1
021/12/29 11:11:12 STATE: 1
2021/12/29 11:11:14 STATE: 1
2021/12/29 11:11:16 STATE: 1
2021/12/29 11:11:18 STATE: 1
2021/12/29 11:11:20 STATE: 1
2021/12/29 11:11:22 STATE: 1
2021/12/29 11:11:24 STATE: 1
2021/12/29 11:11:26 STATE: 1
2021/12/29 11:11:28 STATE: 1
2021/12/29 11:11:30 STATE: 1
2021/12/29 11:11:32 STATE: 1
2021/12/29 11:11:34 STATE: 1
2021/12/29 11:11:36 STATE: 1
2021/12/29 11:11:38 STATE: 1
2021/12/29 11:11:40 STATE: 1
2021/12/29 11:11:42 STATE: 1
2021/12/29 11:11:44 STATE: 1
2021/12/29 11:11:46 STATE: 1
2021/12/29 11:11:48 STATE: 1
2021/12/29 11:11:50 STATE: 1
2021/12/29 11:11:52 STATE: 1
2021/12/29 11:11:54 STATE: 1
2021/12/29 11:11:56 STATE: 1
2021/12/29 11:11:58 STATE: 1
2021/12/29 11:12:00 STATE: 1
2021/12/29 11:12:02 STATE: 1
2021/12/29 11:12:04 STATE: 1
2021/12/29 11:12:06 STATE: 1
2021/12/29 11:12:08 STATE: 1
2021/12/29 11:12:10 STATE: 1
2021/12/29 11:12:12 STATE: 1
2021/12/29 11:12:14 STATE: 1
2021/12/29 11:12:16 STATE: 1
2021/12/29 11:12:18 STATE: 1
2021/12/29 11:12:20 STATE: 1
2021/12/29 11:12:22 STATE: 1
2021/12/29 11:12:24 STATE: 1
2021/12/29 11:12:26 STATE: 1
2021/12/29 11:12:28 STATE: 1
2021/12/29 11:12:30 STATE: 1
2021/12/29 11:12:32 STATE: 1
2021/12/29 11:12:34 STATE: 1
2021/12/29 11:12:36 STATE: 1
2021/12/29 11:12:38 STATE: 1
2021/12/29 11:12:40 STATE: 1
2021/12/29 11:12:42 STATE: 1
2021/12/29 11:12:44 STATE: 1
2021/12/29 11:12:46 STATE: 1
2021/12/29 11:12:48 STATE: 1
2021/12/29 11:12:50 STATE: 1
2021/12/29 11:12:52 STATE: 1
2021/12/29 11:12:54 STATE: 1
2021/12/29 11:12:56 STATE: 1
2021/12/29 11:12:58 STATE: 1
2021/12/29 11:13:00 STATE: 1
2021/12/29 11:13:02 STATE: 1
2021/12/29 11:13:04 STATE: 1
1 Prime replica: Pulse(69)
2021/11/30 14:06:12 Prime replica: Pulse(70)
2021/11/30 14:06:13 Prime replica: Pulse(71)
2021/11/30 14:06:14 Prime replica: Pulse(73)
2021/11/30 14:06:15 Prime replica: Pulse(74)
2021/11/30 14:06:16 Prime replica: Pulse(75)
2021/11/30 14:06:17 Prime replica: Pulse(76)
2021/11/30 14:06:18 Prime replica: Pulse(77)
2021/11/30 14:06:19 Prime replica: Pulse(78)
2021/11/30 14:06:20 Prime replica: Pulse(79)
/30 11:33:50 Prime replica: Pulse(106)
2021/11/30 11:33:55 Prime replica: Pulse(107)
2021/11/30 11:34:00 Prime replica: Pulse(108)
2021/11/30 11:34:05 Prime replica: Pulse(109)
