2021/11/30 11:25:25 Auction open at: [::]:5750
2021/11/30 11:25:25 Received pulse from prime replica(0)
2021/11/30 11:25:28 Received pulse from prime replica(3)
2021/11/30 11:25:33 Received pulse from prime replica(4)
2021/11/30 11:25:45 2 received request from: 1
2021/11/30 11:25:45 ----------------------------------------------------------
2021/11/30 11:25:45 2 is sending reply to: 1
2021/11/30 11:25:45 ----------------------------------------------------------
2021/11/30 11:25:45 Received new leader
2021/11/30 11:25:45 Missing pulse from prime replica. Last Pulse: 11.2053383s seconds ago
2021/11/30 11:25:45 Leader election called
2021/11/30 11:25:45 2, Stamp: 8 Requesting access to leader election
2021/11/30 11:25:45 ----------------------------------------------------------
2021/11/30 11:25:50 Received pulse from prime replica(8)
2021/11/30 11:25:55 Received pulse from prime replica(11)
2021/11/30 11:26:00 Received pulse from prime replica(12)
2021/11/30 11:26:05 Received pulse from prime replica(13)
2021/11/30 11:26:10 Received pulse from prime replica(14)
2021/11/30 11:26:15 Received pulse from prime replica(15)
2021/11/30 11:26:20 Received pulse from prime replica(16)
2021/11/30 11:26:25 Received pulse from prime replica(17)
2021/11/30 11:26:30 Received pulse from prime replica(18)
2021/11/30 11:26:35 Received pulse from prime replica(19)
2021/11/30 11:26:40 Received pulse from prime replica(20)
2021/11/30 11:26:45 Received pulse from prime replica(21)
2021/11/30 11:26:50 Received pulse from prime replica(22)
2021/11/30 11:26:55 Received pulse from prime replica(23)
2021/11/30 11:27:00 Received pulse from prime replica(24)
2021/11/30 11:27:05 Received pulse from prime replica(25)
2021/11/30 11:27:10 Received pulse from prime replica(26)
2021/11/30 11:27:15 Received pulse from prime replica(27)
2021/11/30 11:27:20 Received pulse from prime replica(28)
2021/11/30 11:27:25 Received pulse from prime replica(29)
2021/11/30 11:27:30 Received pulse from prime replica(30)
2021/11/30 11:27:35 Received pulse from prime replica(31)
2021/11/30 11:27:40 Received pulse from prime replica(32)
2021/11/30 11:27:45 Received pulse from prime replica(33)
2021/11/30 11:27:50 Received pulse from prime replica(34)
2021/11/30 11:27:55 Received pulse from prime replica(35)
2021/11/30 11:28:00 Received pulse from prime replica(36)
2021/11/30 11:28:05 Received pulse from prime replica(37)
2021/11/30 11:28:10 Received pulse from prime replica(38)
2021/11/30 11:28:15 Received pulse from prime replica(39)
2021/11/30 11:28:20 Received pulse from prime replica(40)
2021/11/30 11:28:25 Received pulse from prime replica(41)
2021/11/30 11:28:30 Received pulse from prime replica(42)
2021/11/30 11:28:35 Received pulse from prime replica(43)
2021/11/30 11:28:40 Received pulse from prime replica(44)
2021/11/30 11:28:45 Received pulse from prime replica(45)
2021/11/30 11:28:50 Received pulse from prime replica(46)
2021/11/30 11:28:55 Received pulse from prime replica(47)
2021/11/30 11:29:00 Received pulse from prime replica(48)
2021/11/30 11:29:05 Received pulse from prime replica(49)
2021/11/30 11:29:10 Received pulse from prime replica(50)
