2021/12/29 13:18:39 Auction open at: [::]:5753
2021/12/29 13:18:39 Auctioneer: Auction started at 5753. Duration will be: 100 seconds
2021/12/29 13:18:59 Missing pulse from prime replica. Last Pulse: 7.3095851s seconds ago
2021/12/29 13:18:59 Leader election called
2021/12/29 13:18:59 Received reply from port: 0
2021/12/29 13:18:59 Received reply from port: 0
2021/12/29 13:18:59 Received reply from port: 0
2021/12/29 13:18:59 Received reply from port: 0
2021/12/29 13:18:59 Entered the critical section
2021/12/29 13:18:59 Auction open at: [::]:5001
2021/12/29 13:18:59 Received new leader
NEW STATE IS 0
2/29 12:58:15 STATE: 1
2021/12/29 12:58:20 STATE: 1
2021/12/29 12:58:25 STATE: 1
2021/12/29 12:58:30 STATE: 1
2021/12/29 12:58:35 STATE: 1
2021/12/29 12:58:40 STATE: 1
2021/12/29 12:58:45 STATE: 1
2021/12/29 12:58:49 Auctioneer: Auction closed. Highest bid: 0 by 
2021/12/29 12:58:50 STATE: 1
2021/12/29 12:58:55 STATE: 1
2021/12/29 12:59:00 STATE: 1
2021/12/29 12:59:05 STATE: 1
2021/12/29 12:59:10 STATE: 1
12/29 12:48:51 STATE: 0
2021/12/29 12:48:56 STATE: 0
2021/12/29 12:49:01 STATE: 0
2021/12/29 12:49:06 STATE: 0
2021/12/29 12:49:11 STATE: 0
2021/12/29 12:49:16 STATE: 0
2021/12/29 12:49:21 STATE: 0
2021/12/29 12:49:26 STATE: 0
2021/12/29 12:49:31 STATE: 0
2021/12/29 12:49:36 STATE: 0
2021/12/29 12:49:41 STATE: 0
2021/12/29 12:49:46 STATE: 0
2021/12/29 12:49:51 STATE: 0
2021/12/29 12:49:56 STATE: 0
2021/12/29 12:50:01 STATE: 0
2021/12/29 12:50:06 STATE: 0
2021/12/29 12:50:11 STATE: 0
2021/12/29 12:50:16 STATE: 0
2021/12/29 12:50:21 STATE: 0
2021/12/29 12:50:26 STATE: 0
2021/12/29 12:50:31 STATE: 0
2021/12/29 12:50:36 STATE: 0
2021/12/29 12:50:41 STATE: 0
2021/12/29 12:50:46 STATE: 0
2021/12/29 12:50:51 STATE: 0
2021/12/29 12:50:56 STATE: 0
2021/12/29 12:51:01 STATE: 0
2021/12/29 12:51:06 STATE: 0
2021/12/29 12:51:11 STATE: 0
2021/12/29 12:51:16 STATE: 0
2021/12/29 12:51:21 STATE: 0
2021/12/29 12:51:26 STATE: 0
2021/12/29 12:51:31 STATE: 0
2021/12/29 12:51:36 STATE: 0
2021/12/29 12:51:41 STATE: 0
2021/12/29 12:51:46 STATE: 0
2021/12/29 12:51:51 STATE: 0
2021/12/29 12:51:56 STATE: 0
2021/12/29 12:52:01 STATE: 0
2021/12/29 12:52:06 STATE: 0
2021/12/29 12:52:11 STATE: 0
2021/12/29 12:52:16 STATE: 0
2021/12/29 12:52:21 STATE: 0
2021/12/29 12:52:26 STATE: 0
2021/12/29 12:52:31 STATE: 0
2021/12/29 12:52:37 STATE: 0
2021/12/29 12:52:42 STATE: 0
2021/12/29 12:52:47 STATE: 0
2021/12/29 12:52:52 STATE: 0
2021/12/29 12:52:57 STATE: 0
2021/12/29 12:53:02 STATE: 0
2021/12/29 12:53:07 STATE: 0
2021/12/29 12:53:12 Missing pulse from prime replica. Last Pulse: 19.0961664s seconds ago
2021/12/29 12:53:12 Leader election called
2021/12/29 12:53:17 STATE: 1
2021/12/29 12:53:22 STATE: 1
2021/12/29 12:53:27 STATE: 1
2021/12/29 12:53:32 STATE: 1
2021/12/29 12:53:37 STATE: 1
2021/12/29 12:53:42 STATE: 1
2021/12/29 12:53:47 STATE: 1
2021/12/29 12:53:52 STATE: 1
2021/12/29 12:53:57 STATE: 1
2021/12/29 12:54:02 STATE: 1
2021/12/29 12:54:07 STATE: 1
2021/12/29 12:54:12 STATE: 1
2021/12/29 12:54:17 STATE: 1
2021/12/29 12:54:22 STATE: 1
2021/12/29 12:54:27 STATE: 1
2021/12/29 12:54:32 STATE: 1
021/12/01 17:28:32 STATE: 0
2021/12/01 17:28:34 STATE: 0
2021/12/01 17:28:36 STATE: 0
2021/12/01 17:28:38 STATE: 0
2021/12/01 17:28:40 STATE: 0
2021/12/01 17:28:42 STATE: 0
2021/12/01 17:28:44 STATE: 0
2021/12/01 17:28:46 STATE: 0
2021/12/01 17:28:48 STATE: 0
2021/12/01 17:28:50 STATE: 0
2021/12/01 17:28:50 Auctioneer: Auction closed. Highest bid: 0 by 
2021/12/01 17:28:52 STATE: 0
2021/12/01 17:28:54 STATE: 0
2021/12/01 17:28:56 STATE: 0
2021/12/01 17:28:58 STATE: 0
2021/12/01 17:29:00 STATE: 0
2021/12/01 17:29:02 Missing pulse from prime replica. Last Pulse: 5.7369957s seconds ago
2021/12/01 17:29:02 Leader election called
00 STATE: 0
2021/12/01 17:24:02 STATE: 0
2021/12/01 17:24:04 STATE: 0
2021/12/01 17:24:06 STATE: 0
2021/12/01 17:24:08 STATE: 0
2021/12/01 17:24:10 STATE: 0
2021/12/01 17:24:12 STATE: 0
2021/12/01 17:24:14 STATE: 0
2021/12/01 17:24:16 STATE: 0
2021/12/01 17:24:18 STATE: 0
2021/12/01 17:24:20 STATE: 0
2021/12/01 17:24:22 STATE: 0
2021/12/01 17:24:24 STATE: 0
2021/12/01 17:24:26 STATE: 0
2021/12/01 17:24:28 STATE: 0
2021/12/01 17:24:30 STATE: 0
2021/12/01 17:24:32 STATE: 0
2021/12/01 17:24:34 STATE: 0
